date,home_team,away_team,prop_odds_game_id,sportsbook,home_team_odds,away_team_odds,winner
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,betmgm,-165,135,
2023-04-09,Toronto Raptors,Milwaukee Bucks,f184f7cb63ae90f0dad4ebe4d793ccb6,barstool,-157,130,
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,fanduel,128,-152,
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,draftkings,125,-145,
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,caesars,130,-155,
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,betmgm,120,-145,
2023-04-09,Washington Wizards,Houston Rockets,2ac17f820c9a8d03abdd4acd3b7ef285,barstool,128,-157,
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,fanduel,-295,240,
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,draftkings,-300,250,
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,caesars,-320,250,
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,betmgm,-300,240,
2023-04-09,Chicago Bulls,Detroit Pistons,c3792bab7f19ebbbc5dd1d5a1624d191,barstool,-305,245,
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,fanduel,-168,142,
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,draftkings,-170,145,
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,caesars,-170,143,
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,betmgm,-175,145,
2023-04-09,Dallas Mavericks,San Antonio Spurs,05bfd3a6c4001aabf7da23e52396e750,barstool,-182,148,
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,fanduel,-162,136,
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,draftkings,-155,135,
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,caesars,-170,143,
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,betmgm,-160,135,
2023-04-09,Minnesota Timberwolves,New Orleans Pelicans,9231de3e6d7b227f12f61879496e73ed,barstool,-167,138,
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,fanduel,110,-130,
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,draftkings,100,-120,
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,caesars,110,-130,
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,betmgm,110,-135,
2023-04-09,Oklahoma City Thunder,Memphis Grizzlies,33f1e4868b344c3bb39a1e68e7278c02,barstool,106,-129,
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,fanduel,120,-142,
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,draftkings,130,-150,
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,caesars,130,-155,
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,betmgm,130,-155,
2023-04-09,Denver Nuggets,Sacramento Kings,ce69d429fe544c1a4f0e725732f14749,barstool,123,-148,
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,fanduel,-1600,900,
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,draftkings,-1650,950,
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,caesars,-2000,1050,
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,betmgm,-1600,900,
2023-04-09,Los Angeles Lakers,Utah Jazz,ffde7eef5489472ff2e6185a1931462e,barstool,-2500,1050,
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,fanduel,590,-850,
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,draftkings,575,-800,
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,caesars,550,-800,
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,betmgm,600,-900,
2023-04-09,Phoenix Suns,LA Clippers,973ef3fd178a026edb82a3c0dd1cb3e1,barstool,510,-770,
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,fanduel,900,-1600,
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,draftkings,900,-1500,
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,caesars,1050,-2000,
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,betmgm,900,-1600,
2023-04-09,Portland Trail Blazers,Golden State Warriors,0ea4a98effa090cfe4948810a74cd9de,barstool,1000,-2000,
2023-04-11,Miami Heat,Atlanta Hawks,3a58414e72204789180939ddafe82f85,fanduel,-205,172,
2023-04-11,Miami Heat,Atlanta Hawks,3a58414e72204789180939ddafe82f85,draftkings,-200,170,
2023-04-11,Miami Heat,Atlanta Hawks,3a58414e72204789180939ddafe82f85,caesars,-205,170,
2023-04-11,Miami Heat,Atlanta Hawks,3a58414e72204789180939ddafe82f85,betmgm,-200,165,
2023-04-11,Miami Heat,Atlanta Hawks,3a58414e72204789180939ddafe82f85,barstool,-210,175,
2023-04-11,Los Angeles Lakers,Minnesota Timberwolves,45b9dbf2753a0d5e874f239039ee61a9,fanduel,-340,275,
2023-04-11,Los Angeles Lakers,Minnesota Timberwolves,45b9dbf2753a0d5e874f239039ee61a9,draftkings,-330,275,
2023-04-11,Los Angeles Lakers,Minnesota Timberwolves,45b9dbf2753a0d5e874f239039ee61a9,caesars,-385,300,
2023-04-11,Los Angeles Lakers,Minnesota Timberwolves,45b9dbf2753a0d5e874f239039ee61a9,betmgm,-350,270,
2023-04-11,Los Angeles Lakers,Minnesota Timberwolves,45b9dbf2753a0d5e874f239039ee61a9,barstool,-345,275,
2023-04-12,Toronto Raptors,Chicago Bulls,5bfa63a092c0fe7fcfc414924099bf67,fanduel,-215,180,
2023-04-12,Toronto Raptors,Chicago Bulls,5bfa63a092c0fe7fcfc414924099bf67,draftkings,-215,185,
2023-04-12,Toronto Raptors,Chicago Bulls,5bfa63a092c0fe7fcfc414924099bf67,caesars,-225,185,
2023-04-12,Toronto Raptors,Chicago Bulls,5bfa63a092c0fe7fcfc414924099bf67,betmgm,-225,180,
2023-04-12,Toronto Raptors,Chicago Bulls,5bfa63a092c0fe7fcfc414924099bf67,barstool,-210,175,
2023-04-12,New Orleans Pelicans,Oklahoma City Thunder,9a5f9c73414b7602079c4b1fb1dcb4b8,fanduel,-210,176,
